WAAS Subset Event Id,Local Event Date,Aircraft,Aircraft Operator,Event Location,Crew Fatalities,Crew Injured,Crew Aboard,PAX Fatalities,PAX Injuries,PAX Aboard
S20160135,2016-08-31,"CESSNA 208B 
GRAND CARAVAN EX",HAGELAND AVIATION SERVICES,"10KMNW OF  RUSSIAN MISSION,  ALASKA, US",1,0,1,2,0,2
S20160147,2016-09-30,"CESSNA 208B 
GRAND CARAVAN",LLANERA DE AVIACION SAS,"SAN ANTONIO DE PRADO, SW OF  MEDELLIN,  ANTIOQUIA, CO",1,1,2,3,6,9
S20160151,2016-10-02,"CESSNA 208B 
GRAND CARAVAN",HAGELAND AVIATION SERVICES,"20KM NW OF  TOGIAK,  ALASKA, US",2,0,2,1,0,1
T1990001,1990-01-02,IPTN 212-200,PELITA AIR SERVICE,"IN JAVA SEA, OFF PABELOKAN ISLAND, ID",2,0,3,7,0,13
T1990003,1990-01-15,CASA 212-200,SANSA,"CERRO CEDRAL, NR. SAN JOSE, CR",3,0,3,20,0,20
T1990006,1990-02-05,"GRUMMAN 159 
GULFSTREAM IC",HELICOL,"MOUNT EL SALADO, NR. IBAGUE, CO",4,0,4,11,0,11
T1990007,1990-01-25,"HAWKER-SIDDELEY 
748 SRS.2A",AIRFAST INDONESIA PT,"MOUNT RINGANI,  LOMBOK, ID",3,0,3,16,0,16
T1990012,1990-04-18,"DHC-6 TWIN OTTER 
200",AEROPERLAS,"IN SEA,  CONTADORA ISLAND, PA",3,0,3,17,0,19
T1990013,1990-04-12,"DHC-6 TWIN OTTER 
300",WIDEROE'S FLYVESELSKAP,"NR. VAEROY,  LOFOTEN ISLANDS, NO",2,0,2,3,0,3
T1990017,1990-05-10,FAIRCHILD F-27,AVIACSA,"NR. LLANO SAN JUAN AP.,  TUXTLA GUTIERREZ, MX",4,0,4,20,0,36
T1990018,1990-05-18,"BEECH COMMUTER 
1900C-1",AEROLIFT PHILIPPINES,"MERVILLE PARK SUBDIVISION,  MANILA, PH",2,0,2,19,0,19
T1990021,1990-06-06,FAIRCHILD FH-227,TABA,"NR. ALTAMIRA AP.,  ALTAMIRA, BR",2,1,3,21,18,39
T1990035,1990-11-11,CASA 212-200,SATENA,"MOUNT LOS FARLLONES, NR. MEDELLIN, CO",4,0,4,12,0,12
T1990036,1990-11-21,DHC DASH 8-100,BANGKOK AIRWAYS,"CHAWENG BEACH,  KOH SAMUI, TH",5,0,5,33,0,33
T1991001,1991-02-01,"FAIRCHILD SA-227AC 
METRO III",SKYWEST AIRLINES,"LOS ANGELES INTL. AP.,  LOS ANGELES,  CALIFORNIA, US",2,0,2,10,0,10
T1991002,1991-01-30,IPTN 212-200,MERPATI NUSANTARA AIRLINES,"TIHENGO MOUNTAINS, NR. GORONTALO, ID",0,0,3,1,0,18
T1991007,1991-04-05,"EMBRAER EMB-120 
BRASILIA",ATLANTIC SOUTHEAST AIRLINES,"NR. GYNCO JETPORT,  BRUNSWICK,  GEORGIA, US",3,0,3,20,0,20
T1991008,1991-05-09,FOKKER F.27-600,MERPATI NUSANTARA AIRLINES,"MOUNT KLABAT, NR. MANADO,  SULAWESI, ID",5,0,5,8,0,8
T1991010,1991-04-18,DORNIER 228-200,AIR TAHITI,"NUKU HIVA,  MARQUESS ISLANDS, PF",1,1,3,9,3,20
T1991014,1991-07-04,"DHC-6 TWIN OTTER 
300",HELICOL,"NR. EL YOPAL, CO",2,0,2,1,0,1
T1991016,1991-07-10,BEECH C99,L'EXPRESS INC,"NR. BIRMINGHAM,  ALABAMA, US",1,1,2,12,1,13
T1991017,1991-07-09,CASA 212-200,AEROCHASQUI,"BELLAVISTA,  BELLAVISTA,  SAN MARTIN, PE",2,0,2,12,0,12
T1991019,1991-09-11,"EMBRAER EMB-120 
BRASILIA",JET LINK/CONTINENTAL EXPRESS,"NEAR EAGLE LAKE,  TEXAS, US",3,0,3,11,0,11
T1991023,1991-09-03,SHORTS SC.7 SKYVAN 3,AIRTECH RAJAWARI UDARA,"NR. LONG SERIDAN,  SARAWAK, MY",2,0,2,12,6,18
T1991025,1991-06-01,"A.S.T.A. (GAF) 
NOMAD N24A",AGAPE FLIGHT INC.,"IN SEA, OFF MATTHEW TOWN,  GREAT INAGUA ISLAND, BS",0,0,1,2,0,2
T1991028,1991-09-27,"DHC-6 TWIN OTTER 
300",SOLOMON AIRLINES,"MOUNT NASUHA, NR. AVUAVU,  GUADALCANAL, SB",2,0,2,13,0,13
T1991030,1991-11-11,"EMBRAER EMB-110P1 
BANDEIRANTE",NORDESTE LINHAS AEREAS REGIONAIS,"NR. GUARARAPES INTL. AP.,  RECIFE, BR",3,0,3,12,0,12
T1992001,1992-01-03,"BEECH COMMUTER 
1900C-1",COMMUTAIR,"NR. SARANAC LAKE,  NEW YORK, US",1,1,2,1,1,2
T1992002,1992-02-03,"EMBRAER EMB-110C 
BANDEIRANTE",NORDESTE LINHAS AEREAS REGIONAIS,"SERRA DOS BREJINHOS, NR. CAEITITE,  BAHIA, BR",2,0,2,10,0,10
T1992004,1992-02-09,CONVAIR 640,GAMBCREST,"NR. KAFOUTINE, SN",4,2,6,26,24,50
T1992006,1992-04-15,"EMBRAER EMB-110P1 
BANDEIRANTE",TALAIR,"DAULO PASS,  GOROKA, PG",2,0,2,9,4,13
T1992011,1992-06-07,CASA 212-200,EXECUTIVE AIRLINES,"NR. MAYAGUEZ AP.,  MAYAGUEZ, PR",2,0,2,3,0,3
T1992012,1992-06-08,BEECH C99,GP EXPRESS AIRLINES,"NR. ANNISTON, NR. ANNISTON,  ALABAMA, US",1,1,2,2,2,4
T1992016,1992-07-24,VICKERS 800 VISCOUNT,MANDALA AIRLINES,"MOUNT LILIBOY, NR. AMBON,  SERAM ISLANDS, ID",7,0,7,63,0,63
T1992022,1992-04-26,FOKKER F.27-400,SAHA AIRLINE,"NR. SAVEH, IR",4,0,4,35,0,35
T1992023,1992-10-18,IPTN CN-235-100,MERPATI NUSANTARA AIRLINES,"MOUNT PAPANDAYAN, NR. GARUT,  JAWA, ID",4,0,4,27,0,27
T1992028,1992-12-13,FOKKER F.27-400,SCIBE AIRLIFT,"NR. GOMA, NR. GOMA, CD",6,0,6,31,0,31
T1993005,1993-02-28,DORNIER 228-200,FORMOSA AIRLINES,"OFF ORCHID ISLAND,  LAN YU, TW",2,0,2,4,0,4
T1993010,1993-01-06,DHC DASH 8-300,LUFTHANSA CITYLINE,"CHARLES DE GAULLE AP.,  PARIS, FR",0,0,4,4,8,19
T1993011,1993-01-09,"HAWKER-SIDDELEY 
748 SRS.2A",BOURAQ INDONESIA,"NR. JUANDA AP.,  SURABAYA, ID",4,1,5,13,21,39
T1993014,1993-03-23,"EMBRAER EMB-110C 
BANDEIRANTE",OESTE LINHAS AEREAS,"NR. TANGARA DE SERRA,  MATO GROSSO, BR",2,0,2,4,0,4
T1993015,1993-04-27,DHC-5 BUFFALO,ZAMBIAN AIR FORCE,"IN SEA, OFF LIBREVILLE, GA",5,0,5,25,0,25
T1993040,1993-07-30,SHORTS SC.7 SKYVAN 3,HORNBILL SKYWAYS,"LONG LOYANG, SARAWAK, MY",0,0,2,1,2,15
T1993041,1993-07-31,DORNIER 228-100,EVEREST AIR,"NR. BHARATPUR, NP",3,0,3,16,0,16
T1993048,1993-10-25,"A.S.T.A. (GAF) 
NOMAD N22",HIBISCUS AVIATION SERVICES,"FRANZ JOSEF GLACIER, NR. GERALDINE,  SOUTH ISLAND, NZ",3,0,3,6,0,6
T1993057,1993-12-01,B.AE. JETSTREAM 31,EXPRESS AIRLINES,"NR. CHISHOLM-HIBBING AP.,  HIBBING,  MINNESOTA, US",2,0,2,16,0,16
T1993059,1993-10-27,"DHC-6 TWIN OTTER 
300",WIDEROE'S FLYVESELSKAP,"NR. NAMSOS, NO",3,0,3,4,12,17
T1993062,1993-11-10,"HAWKER-SIDDELEY 
748 SRS.2A",AIR MANITOBA,"NEAR SANDY LAKE,  ONTARIO, CA",3,0,3,4,0,4
T1993067,1993-12-09,"DHC-6 TWIN OTTER 
300",AIR SENEGAL,"NR. YOFF INTL. AP.,  DAKAR, SN",2,0,2,1,0,1
T1994004,1994-01-07,B.AE. JETSTREAM 41,ATLANTIC COAST AIRLINES,"NR. COLUMBUS,  OHIO, US",3,0,3,2,0,5
T1994011,1994-04-04,SAAB 340B,KLM CITYHOPPER,"SCHIPHOL AP.,  AMSTERDAM, NL",1,1,3,2,8,21
T1994020,1994-06-18,FOKKER F.27-500,MERPATI NUSANTARA AIRLINES,"MT. KALORA, NR. PALU,  SULAWESI, ID",5,0,5,7,0,7
T1994022,1994-06-26,FOKKER F.27-400,AIR IVOIRE,"NR. PORT BOUET AP.,  ABIDJAN, CI",3,0,3,14,0,14
T1994024,1994-06-13,"FAIRCHILD SA-226TC 
METRO II",AEROLINEAS CUAHONTE,"EL CERRO DE LA CRUZ, NR. URUAPAN,  MICHOACAN, MX",2,0,2,7,0,7
T1994026,1994-07-19,"EMBRAER EMB-110P1 
BANDEIRANTE",ALAS CHIRICANAS,"SANTA RITA AREA, NR. COLON, PA",3,0,3,18,0,18
T1994027,1994-05-07,"EMBRAER EMB-110E(J) 
BANDEIRANTE",RICO TAXI AEREO,"SAO GABRIEL AP.,  SAO GABRIEL,  AMAZONAS, BR",2,0,2,6,8,14
T1994032,1994-09-13,"DHC-6 TWIN OTTER 
300",AEROCONTRACTORS,"NR. ABUJA, NG",1,1,2,2,1,3
T1994033,1994-08-21,ATR-42-300,ROYAL AIR MAROC,"NR. TIZOUNINE, 35KM N OF  AGADIR, MA",4,0,4,40,0,40
T1994043,1994-10-31,ATR-72-210,SIMMONS AIRLINES,"NR. ROSELAWN, 58KM SE OF  GARY,  INDIANA, US",4,0,4,64,0,64
T1994045,1994-09-17,"DHC-6 TWIN OTTER 
100",PACIFIC COASTAL AIRLINES,"ILLAHIE INLET, 113KM N OF  PORT HARDY,  BRITISH COLUMBIA, CA",1,1,2,2,0,2
T1994050,1994-12-13,B.AE. JETSTREAM 32,FLAGSHIP AIRLINES,"NR. RALEIGH-DURHAM INTL. AP.,  RALEIGH,  NORTH CAROLINA, US",2,0,2,13,5,18
T1995004,1995-01-10,"DHC-6 TWIN OTTER 
300",MERPATI NUSANTARA AIRLINES,"MOLO STRAIT, NR. LABUHANBAJO,  FLORES ISLAND, ID",4,0,4,10,0,10
T1995006,1995-01-17,"DHC-6 TWIN OTTER 
300",ROYAL NEPAL AIRLINES,"TRIBHUVAN INTL. AP.,  KATHMANDU, NP",1,1,3,1,1,21
T1995035,1995-05-24,"EMBRAER EMB-110P1 
BANDEIRANTE",KNIGHT AIR,"DUNKESWICK, NR. LEEDS,  NORTH YORKSHIRE, GB",3,0,3,9,0,9
T1995040,1995-06-09,DHC DASH 8-100,ANSETT NEW ZEALAND,"NR. PALMERSTON NORTH, NORTH ISLAND, NZ",1,2,3,4,11,18
T1995041,1995-05-01,"FAIRCHILD SA-227AC 
METRO 23",BEARSKIN LAKE AIR SERVICE,"NR. SIOUX LOOKOUT,  ONTARIO, CA",2,0,2,1,0,1
T1995042,1995-06-17,CASA 212-200,ANGOLAN AIR FORCE,"NR. CATUMBELA, AO",3,0,3,45,5,50
T1995059,1995-07-12,"DHC-6 TWIN OTTER 
300",MILNE BAY AIR,"NR. GURNEY AP.,  ALOTAU, PG",2,0,2,13,0,13
T1995062,1995-08-09,"HAWKER-SIDDELEY 
748 SRS.2A",BOURAQ INDONESIA,"MT. KUMAWA, NR. KAIMANA,  IRIAN JAYA, ID",6,0,6,4,0,4
T1995064,1995-08-14,"EMBRAER EMB-110P1 
BANDEIRANTE",AIRES COLOMBIA,"NEVADO DEL HUILA, NR. SANTANDER, CO",2,0,2,8,0,8
T1995065,1995-08-21,"EMBRAER EMB-120 
BRASILIA",ATLANTIC SOUTHEAST AIRLINES,"NR. CARROLLTON, 67KM SW OF  ATLANTA,  GEORGIA, US",1,2,3,8,10,26
T1995067,1995-09-15,FOKKER 50,MALAYSIA AIRLINES,"TAWAU AP.,  TAWAU,  SABAH, MY",2,0,4,32,0,49
T1995068,1995-09-09,CASA 212-200,SATENA,"NR. LA MACARENA, CO",4,0,4,17,1,18
T1995074,1995-11-08,FOKKER F.27-400,LADE,"SIERRA GRANDE MOUNTAINS, NR. VILLA DOLORES, AR",5,0,5,48,0,48
T1995078,1995-12-07,"BEECH COMMUTER 
1900D",AIR SAINT MARTIN,"NR. BELLE-ANSE, HT",2,0,2,18,0,18
